Title,Phone_Number,Addresss,Rating,Num_rating,Rating Count,Price,Category,Cleaned Category,Website_URL,Latitudes,Longitudes,Image_URL,Description,Cleaned Addresss,Business Id
TECH EMPIRE CORPORATION,6 70 67 03 85,"47V5+CQH, Buea",4.9,24,0.108687616,,The head office, The head office ,"https://www.google.com/maps/place/TECH+EMPIRE+CORPORATION/@4.154219,9.2402534,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x1061333adcd85d7f:0x74fbf8f111654eee!8m2!3d4.1435502!4d9.2594983!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11gxf01nxp?entry=ttu",4.154219,9.2402534,,The head office, 47V5 CQH  Buea ,0x1061333adcd85d7f:0x74fbf8f111654eee
Macedonia Baptist Church,,"576M+5R5, Buea",4.8,17,0.075415896,,Baptist church, Baptist church ,"https://www.google.com/maps/place/Macedonia+Baptist+Church/@4.1603999,9.2485616,14z/data=!4m10!1m2!2m1!1schurch+in+buea!3m6!1s0x106131f3827ce0f3:0x7c1baad3b1519ac1!8m2!3d4.1603999!4d9.2846105!15sCg5jaHVyY2ggaW4gYnVlYZIBDmJhcHRpc3RfY2h1cmNo4AEA!16s%2Fg%2F11gbnmm0xm?entry=ttu",4.1603999,9.2485616,https://lh5.googleusercontent.com/p/AF1QipOT_pvD0Ga71CtkZh0cS4M3kHEZbLIaZwPkb641=w493-h240-k-no,Baptist church, 576M 5R5  Buea ,0x106131f3827ce0f3:0x7c1baad3b1519ac1
Gethsemane Baptist Church,,"5759+68M, Buea",4.8,6,0.026617375,,Baptist church, Baptist church ,"https://www.google.com/maps/place/Gethsemane+Baptist+Church/@4.1580943,9.2322506,14z/data=!4m10!1m2!2m1!1schurch+in+buea!3m6!1s0x106133000342e60f:0x119022d87f3c7b32!8m2!3d4.1580943!4d9.2682995!15sCg5jaHVyY2ggaW4gYnVlYZIBDmJhcHRpc3RfY2h1cmNo4AEA!16s%2Fg%2F11h2mq1b2k?entry=ttu",4.1580943,9.2322506,,Baptist church, 5759 68M  Buea ,0x106133000342e60f:0x119022d87f3c7b32
Praise Baptist Church Ndongo,6 77 82 21 97,"572G+RC2, Buea",4.8,4,0.017744917,,Baptist church, Baptist church ,"https://www.google.com/maps/place/Praise+Baptist+Church+Ndongo/@4.1520116,9.23998,14z/data=!4m11!1m3!2m2!1schurch+in+buea!6e1!3m6!1s0x106133eed866d4e3:0x37ec7364ff6fc1ad!8m2!3d4.1520116!4d9.2760289!15sCg5jaHVyY2ggaW4gYnVlYZIBDmJhcHRpc3RfY2h1cmNo4AEA!16s%2Fg%2F11h3b276zz?entry=ttu",4.1520116,9.23998,https://lh5.googleusercontent.com/p/AF1QipOQKiYq18F0od-dkXtCV1GxHdNUUEuQgsQqzGYa=w408-h306-k-no,Baptist church, 572G RC2  Buea ,0x106133eed866d4e3:0x37ec7364ff6fc1ad
Uncle A barbershop,6 83 48 67 70,"Summer set, Buea",4.8,43,0.190757856,,Beauty Institute, Beauty Institute ,"https://www.google.com/maps/place/Uncle+A+barbershop/@4.1557318,9.1903001,13z/data=!4m10!1m2!2m1!1sbarber+in+buea!3m6!1s0x10613388a4d0bf93:0xf302385474be0e1e!8m2!3d4.1557318!4d9.2623979!15sCg5iYXJiZXIgaW4gYnVlYZIBDGJlYXV0eV9zYWxvbuABAA!16s%2Fg%2F11qn5fnk40!5m1!1e1?entry=ttu",4.1557318,9.1903001,,beauty Institute, Summer set  Buea ,0x10613388a4d0bf93:0xf302385474be0e1e
Queen Mimba,,"572V+XFG, D 61, Buea",4.8,6,0.026617375,,Beauty Institute, Beauty Institute ,"https://www.google.com/maps/place/Queen+Mimba/@4.153472,9.1968991,13z/data=!4m10!1m2!2m1!1sspa+buea+cameroon!3m6!1s0x10613174491b2479:0xcbdba95163ed3a43!8m2!3d4.1524408!4d9.2936917!15sChFzcGEgYnVlYSBjYW1lcm9vbpIBDGJlYXV0eV9zYWxvbuABAA!16s%2Fg%2F11j7yl9nbv!5m1!1e1?entry=ttu",4.153472,9.1968991,,beauty Institute, 572V XFG  D 61  Buea ,0x10613174491b2479:0xcbdba95163ed3a43
Believers' Love World Campus Fellowship,,"572Q+MVC, St Teresia Rd, Buea",4.8,5,0.022181146,,Church, Church ,"https://www.google.com/maps/place/Believers'+Love+World+Campus+Fellowship/@4.1516796,9.2536063,14z/data=!4m11!1m3!2m2!1schurch+in+buea!6e1!3m6!1s0x10613184023a864d:0x888fc079aab5fcbe!8m2!3d4.1516796!4d9.2896552!15sCg5jaHVyY2ggaW4gYnVlYZIBBmNodXJjaOABAA!16s%2Fg%2F11gxzrl0s_?entry=ttu",4.1516796,9.2536063,https://lh5.googleusercontent.com/p/AF1QipPOUOOv6E5ZqbyQw4OWsAgQbHADPP7iLBGs6UFA=w408-h498-k-no,Church, 572Q MVC  St Teresia Rd  Buea ,0x10613184023a864d:0x888fc079aab5fcbe
CE Buea Youth Church,,"Street 2 Car Wash, Buea",4.8,4,0.017744917,,Church, Church ,"https://www.google.com/maps/place/CE+Buea+Youth+Church/@4.1532587,9.2157294,14z/data=!4m11!1m3!2m2!1schurch+in+buea!6e1!3m6!1s0x106133d1c4cbc4db:0x9912ad3ac403041e!8m2!3d4.1532587!4d9.2517783!15sCg5jaHVyY2ggaW4gYnVlYZIBBmNodXJjaOABAA!16s%2Fg%2F11hkswj8sy?entry=ttu",4.1532587,9.2157294,,Church, Street 2 Car Wash  Buea ,0x106133d1c4cbc4db:0x9912ad3ac403041e
Klass Chill,6 70 34 79 89,"Untarred Malingo Street, Buea",4.8,53,0.235120148,,Coffee and Grilled Restaurant, Coffee and Grilled Restaurant ,"https://www.google.com/maps/place/Klass+Chill/@4.1558054,9.253146,14z/data=!4m17!1m9!2m8!1snight+club+in+buea!3m5!2sMarvel+Hotel!3s0x10613184434d5a71:0x139ef300d8ab58ed!4m2!1d9.2986465!2d4.1618231!6e5!3m6!1s0x106131232fc88ea7:0x32fdbb91703adc03!8m2!3d4.1544634!4d9.2859897!15sChJuaWdodCBjbHViIGluIGJ1ZWFaFCISbmlnaHQgY2x1YiBpbiBidWVhkgENYmFyX2FuZF9ncmlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSb05FcDZNR2gzUlJBQuABAA!16s%2Fg%2F11rkn76942!5m1!1e1?entry=ttu",4.155805,9.253146,,Klass Chill is a trendy hangout spot located in Buea Cameroon It caters to individuals looking for a laid-back environment to socialize and enjoy good company The venue offers various recreational activities such as pool tables board games and live sports screenings Klass Chill is known for its comfortable seating friendly staff and affordable prices creating a relaxed atmosphere where visitors can unwind and have a great time, Untarred Malingo Street  Buea ,0x106131232fc88ea7:0x32fdbb91703adc03
Blue Lounge,6 53 78 30 36,"D 61, Buea",4.8,4,0.017744917,,Night club, Night club ,"https://www.google.com/maps/place/Blue+Lounge/@4.1563103,9.2282216,14z/data=!4m16!1m8!2m7!1snight+club+in+buea!3m5!2sMarvel+Hotel!3s0x10613184434d5a71:0x139ef300d8ab58ed!4m2!1d9.2986465!2d4.1618231!3m6!1s0x1061333da9241781:0xfeaf3932afa6d355!8m2!3d4.1563103!4d9.2642705!15sChJuaWdodCBjbHViIGluIGJ1ZWFaFCISbmlnaHQgY2x1YiBpbiBidWVhkgEKbmlnaHRfY2x1YpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMmMySkRWSGQzUlJBQuABAA!16s%2Fg%2F11rx33mkb9!5m1!1e1?entry=ttu",4.1563103,9.2282216,,Nightclub, D 61  Buea ,0x1061333da9241781:0xfeaf3932afa6d355
Bishop rogan college,6 80 06 24 25,"46XW+74F, Buea",4.8,11,0.048798521,,School, School ,"https://www.google.com/maps/place/Bishop+rogan+college/@4.1481842,9.2092531,14z/data=!4m10!1m2!2m1!1sschool+in+buea!3m6!1s0x1061324555555555:0x768a70fef219244b!8m2!3d4.1481842!4d9.245302!15sCg5zY2hvb2wgaW4gYnVlYZIBBnNjaG9vbOABAA!16s%2Fg%2F11c60963d3?entry=ttu",4.1481842,9.2092531,https://lh5.googleusercontent.com/p/AF1QipN9KUr1HcBdlBk-DCd_uUISWVgciykvVMSXjQGp=w408-h544-k-no,School, 46XW 74F  Buea ,0x1061324555555555:0x768a70fef219244b
